Date,Country,Confirmed,Recovered,Deaths
2021-04-29,Afghanistan,59576,53103,2618
2021-04-29,Albania,130977,108606,2389
2021-04-29,Algeria,121866,84940,3244
2021-04-29,Andorra,13198,12650,125
2021-04-29,Angola,26431,23606,594
2021-04-29,Antigua and Barbuda,1232,1014,32
2021-04-29,Argentina,2954943,2608077,63508
2021-04-29,Armenia,215528,197171,4087
2021-04-29,Australia,29798,23279,910
2021-04-29,Austria,616739,582575,10179
2021-04-29,Azerbaijan,317913,287298,4490
2021-04-29,Bahamas,10349,9421,198
2021-04-29,Bahrain,175752,164904,639
2021-04-29,Bangladesh,756955,677101,11393
2021-04-29,Barbados,3838,3759,44
2021-04-29,Belarus,357233,347554,2532
2021-04-29,Belgium,986622,0,24185
2021-04-29,Belize,12646,12208,323
2021-04-29,Benin,7821,7580,99
2021-04-29,Bhutan,1066,961,1
2021-04-29,Bolivia,301831,249103,12920
2021-04-29,Bosnia and Herzegovina,197866,158641,8512
2021-04-29,Botswana,46934,44960,712
2021-04-29,Brazil,14590678,12942081,401186
2021-04-29,Brunei,224,215,3
2021-04-29,Bulgaria,403728,338312,16368
2021-04-29,Burkina Faso,13309,13031,157
2021-04-28,Burma,142790,131955,3209
2021-04-29,Burundi,3985,773,6
2021-04-29,Cabo Verde,23554,20257,213
2021-04-29,Cambodia,12641,4986,91
2021-04-29,Cameroon,72250,35261,1107
2021-04-29,Canada,1220108,1116894,24165
2021-04-29,Central African Republic,6411,5112,88
2021-04-29,Chad,4810,4416,170
2021-04-29,Chile,1190991,1125761,26247
2021-04-29,China,102474,97144,4845
2021-04-29,Colombia,2841934,2650643,73230
2021-04-29,Comoros,3834,3674,146
2021-04-29,Congo (Brazzaville),10678,8208,144
2021-04-29,Congo (Kinshasa),29812,26206,763
2021-04-29,Costa Rica,248382,202593,3217
2021-04-29,Cote d'Ivoire,45998,45498,286
2021-04-29,Croatia,330176,308258,7040
2021-04-29,Cuba,105661,99630,632
2021-04-29,Cyprus,65233,39061,308
2021-04-29,Czechia,1628536,1548014,29213
2021-04-29,Denmark,251248,238450,2484
2021-04-29,Diamond Princess,712,699,13
2021-04-29,Djibouti,11026,10646,143
2021-04-29,Dominica,174,172,0
2021-04-29,Dominican Republic,266214,224746,3471
2021-04-29,Ecuador,380689,318598,18552
2021-04-29,Egypt,226531,170008,13278
2021-04-29,El Salvador,69198,64876,2120
2021-04-29,Equatorial Guinea,7694,7279,112
2021-04-29,Eritrea,3671,3492,10
2021-04-29,Estonia,121657,110599,1158
2021-04-29,Eswatini,18458,17743,671
2021-04-29,Ethiopia,256418,197916,3658
2021-04-29,Fiji,116,65,2
2021-04-29,Finland,86613,46000,913
2021-04-29,France,5653533,344830,104385
2021-04-29,Gabon,22818,19390,138
2021-04-29,Gambia,5887,5341,174
